Date,K,TAU,Mkt_Price,Model_Price,RAE_%
20240612.0,504.0,0.4548,4.14,4.2911,3.65
20240620.0,504.0,0.4329,2.78,2.8651,3.06
20240620.0,512.0,0.4329,3.66,3.8155,4.25
20240620.0,520.0,0.4329,5.02,5.0641,0.88
