Date,K,TAU,Mkt_Price,Model_Price,RAE_%
20240612.0,504.0,0.4548,4.14,4.351,5.1
20240620.0,504.0,0.4329,2.78,2.7249,1.98
20240620.0,512.0,0.4329,3.66,3.6826,0.62
20240620.0,520.0,0.4329,5.02,4.905,2.29
