2026-05-13 13:07:34.592 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.594 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.596 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.598 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.599 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.601 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.603 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.605 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.606 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.608 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.610 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.612 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.614 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.615 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.617 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.619 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.621 | DEBUG    | src.layer2_price:construct_regime_generator_with_drift:310 | Layer 2 drift generator: stencil=auto, 5pt: 0/96, fallbacks: 96
2026-05-13 13:07:34.622 | INFO     | src.jump_generator:construct_all_regime_generators_svj:303 | SVJ regime generators built: tensor (20, 100, 100), jump_type=merton, lambda=0.1, drift_correction=0.004400
2026-05-13 13:07:34.624 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=85 T=0.2500 -> price=0.049457 (P1=0.945616, P2=0.934950)
2026-05-13 13:07:34.628 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=85 T=0.2500 -> price=0.020233 (P1=0.943296, P2=0.932547)
2026-05-13 13:07:34.628 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:34.650 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:34.932 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:34.933 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.113561
2026-05-13 13:07:34.933 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:34.947 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:35.280 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:35.280 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.135477
2026-05-13 13:07:35.280 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K= 85 | SV: 0.1136 vs 0.0495 (+129.62%) | SVJ: 0.1355 vs 0.0202 (+569.57%) | 0.65s
2026-05-13 13:07:35.283 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=90 T=0.2500 -> price=0.445299 (P1=0.878929, P2=0.859479)
2026-05-13 13:07:35.286 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=90 T=0.2500 -> price=0.410780 (P1=0.876169, P2=0.856776)
2026-05-13 13:07:35.286 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:35.310 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:35.644 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:35.644 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.417288
2026-05-13 13:07:35.644 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:35.668 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:35.974 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:35.974 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.456260
2026-05-13 13:07:35.975 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K= 90 | SV: 0.4173 vs 0.4453 (-6.29%) | SVJ: 0.4563 vs 0.4108 (+11.07%) | 0.69s
2026-05-13 13:07:35.977 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=95 T=0.2500 -> price=1.484150 (P1=0.763418, P2=0.733351)
2026-05-13 13:07:35.980 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=95 T=0.2500 -> price=1.446483 (P1=0.761198, P2=0.731396)
2026-05-13 13:07:35.980 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:35.998 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:36.727 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:36.728 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 1.240905
2026-05-13 13:07:36.729 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:36.801 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:38.971 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:38.972 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 1.294496
2026-05-13 13:07:38.973 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K= 95 | SV: 1.2409 vs 1.4841 (-16.39%) | SVJ: 1.2945 vs 1.4465 (-10.51%) | 2.99s
2026-05-13 13:07:39.001 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=100 T=0.2500 -> price=3.529700 (P1=0.594645, P2=0.556031)
2026-05-13 13:07:39.033 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=100 T=0.2500 -> price=3.489093 (P1=0.594171, P2=0.555962)
2026-05-13 13:07:39.034 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:39.111 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:41.301 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:41.301 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 2.996535
2026-05-13 13:07:41.302 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:41.380 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:43.574 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:43.574 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 3.052393
2026-05-13 13:07:43.575 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K=100 | SV: 2.9965 vs 3.5297 (-15.11%) | SVJ: 3.0524 vs 3.4891 (-12.52%) | 4.54s
2026-05-13 13:07:43.597 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=105 T=0.2500 -> price=6.702165 (P1=0.392687, P2=0.352942)
2026-05-13 13:07:43.631 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=105 T=0.2500 -> price=6.661249 (P1=0.394464, P2=0.355040)
2026-05-13 13:07:43.631 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:43.694 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:45.857 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:45.858 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 5.935970
2026-05-13 13:07:45.859 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:45.938 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:48.133 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:48.134 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 5.980014
2026-05-13 13:07:48.135 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K=105 | SV: 5.9360 vs 6.7022 (-11.43%) | SVJ: 5.9800 vs 6.6612 (-10.23%) | 4.50s
2026-05-13 13:07:48.156 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=110 T=0.2500 -> price=10.677559 (P1=0.204639, P2=0.173701)
2026-05-13 13:07:48.191 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=110 T=0.2500 -> price=10.646253 (P1=0.207742, P2=0.176831)
2026-05-13 13:07:48.192 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:48.269 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:50.422 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:50.423 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 9.899763
2026-05-13 13:07:50.423 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:50.505 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:52.691 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:52.691 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 9.927129
2026-05-13 13:07:52.692 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K=110 | SV: 9.8998 vs 10.6776 (-7.28%) | SVJ: 9.9271 vs 10.6463 (-6.75%) | 4.50s
2026-05-13 13:07:52.718 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=115 T=0.2500 -> price=14.966604 (P1=0.078322, P2=0.061383)
2026-05-13 13:07:52.756 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=115 T=0.2500 -> price=14.952174 (P1=0.081074, P2=0.063920)
2026-05-13 13:07:52.757 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:52.831 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:55.052 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:55.053 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 14.468162
2026-05-13 13:07:55.054 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.001250
2026-05-13 13:07:55.135 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:57.311 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:57.312 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 14.482528
2026-05-13 13:07:57.313 | INFO     | __main__:run_single_config:188 |   20x100 T=0.25 K=115 | SV: 14.4682 vs 14.9666 (-3.33%) | SVJ: 14.4825 vs 14.9522 (-3.14%) | 4.56s
2026-05-13 13:07:57.334 | INFO     | src.heston_analytical:compute_heston_price:133 | Heston analytical: put S=100.0 K=85 T=0.5000 -> price=0.408021 (P1=0.901250, P2=0.877195)
2026-05-13 13:07:57.368 | INFO     | src.svj_analytical:compute_svj_price:137 | SVJ analytical: put S=100.0 K=85 T=0.5000 -> price=0.368170 (P1=0.898244, P2=0.874081)
2026-05-13 13:07:57.368 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:07:57.460 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:07:59.366 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:07:59.367 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.537651
2026-05-13 13:07:59.367 | INFO     | src.option_pricing:price_european_fast:214 | Fast pricing (tensor): 20x100, 200 steps, dt=0.002500
2026-05-13 13:07:59.433 | INFO     | src.option_pricing:price_european_fast:221 | Transition tensors pre-computed: 20+1 exponentials
2026-05-13 13:08:01.705 | DEBUG    | src.layer2_price:compute_initial_auxiliary_value:420 | Initial auxiliary: X_0=4.698504, S_0=100.0000, V_0=0.040000
2026-05-13 13:08:01.706 | INFO     | src.option_pricing:price_european_fast:246 | Fast pricing result: 0.579749
